demand_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,3598.1350458144884,3662.1595027789335,1838.8061548886628,1613.6017299691425,4885.873032568881,4885.873032568881,5292.712032333356,1863.1949966747611,3147.4769635102807,4730.781393256814,5558.863459545866,4415.702060437801,1557.9655946744026,2478.614097653421,3660.6432456604953,2469.746478079411,4252.888830240906,2613.7088634570678,4487.515258888749,5479.8917791195445,4803.864525873855,4460.012146035445,883.979792873363,4721.703985572885,3915.147853240525,4151.750767993768,5450.853487751265,4885.873032568881,1127.5798080455882,1272.1353167920718,4518.084761744863,5450.853487751265,4936.048833957089,4464.958037134114,3816.4277559361303,4675.9460393993695,3399.4342466684952,3495.0020158198504,536.9571493298668,1688.4053313418417,1633.6035238741551,3922.6875414274673,4040.144109222214,3298.767762052947,1471.102503008653,2283.1807779761016,4439.608011820956,6132.504002390071,5076.958618129676,5660.354520068649,4767.319448362556,1780.2634777448159,1800.2768470478509,5520.152506960221,6245.97888691463,728.2987627546281,2964.628723357607,4546.3734071723975,4478.059489681792,5381.3520073504005,5826.013524032889,4915.992148365571,4824.886979685162,5505.034779931488,4774.622776531625,4278.91635153252,6440.168139482356,5527.311679477486,333.2328697584934,2824.5009345771264,4009.4601336467344,5308.3893660982485,5415.515251945816,4567.2089612082755,747.7601266297398,1381.767055850162,719.0847043242579,508.5614003968864,6052.865114251042,5568.446377442902,766.4761628211662,4627.233525003702,4575.902048584894,2499.1444332195074,920.695618868795,2138.235625103508,1318.8207337482775,4006.5840713797197,4549.603602493775,2259.6965546427646,249.74200768859026,2987.2135687238447,2547.4351380503817
1,3753.193444575922,3817.168957314942,1853.2474544341492,1768.6824412491658,5041.220712424498,5041.220712424498,5497.169583735009,2019.0991887208418,3352.315823893588,4935.390514615179,5762.629868261786,4620.229956997902,1572.3921021380697,2633.593175153203,3815.7312365825237,2674.356018461448,4407.691777753957,2768.950544944654,4692.079150511334,5684.986205610872,5010.395366602412,4616.243660983031,1018.5426794988473,4876.568456348112,4070.220827958094,4306.862666119274,5655.947954871628,5041.220712424498,1283.0836954448953,1427.876669820298,4721.836855445769,5655.947954871628,5142.77494125599,4669.810685711783,4019.291226541842,4880.518544993638,3414.07760578281,3650.8868722709117,741.8808328402354,1843.7875302460773,1788.8261936043375,4128.393919082045,4195.301281083122,3503.4499749584334,1485.5929280815412,2297.642767616163,4594.566238674841,6344.024966370778,5282.242276033369,5872.064895632097,4971.655345583551,1984.8808681340436,2004.8992174943676,5728.634593860819,6449.757499791782,742.9712692399387,2979.282755172919,4750.130787762793,4681.80215085644,5586.422240592781,6031.25474950626,5120.176591741667,5030.137055549446,5706.217221039252,4979.0261162002935,4482.812398123569,6643.951057303775,5731.258801727718,128.35406370838405,2839.228705956522,4024.014817765777,5516.737840836803,5619.284655437927,4771.544858429272,879.3859285496173,1536.5676950558134,923.957153155462,523.1460215855117,6256.44147219331,5776.936776338425,611.26373034835,4831.96086909887,4780.458340077883,2703.9146448108727,1055.4047885598854,2152.693577331415,1523.4376555183944,4161.694252637196,4750.416214880637,2274.160326164746,68.32294823731392,3001.749339119005,2752.273445635929
2,3900.73481632729,3964.862316903023,1847.6649236687517,1915.4746620937324,5188.700595183822,5188.700595183822,5711.06160452374,2166.24239932302,3566.1596384220934,5149.265535826038,5976.987277392258,4834.002621072455,1566.880145135861,2781.269858233962,3963.4266282451927,2888.122042637322,4555.200088015008,2916.088695322158,4905.878850472198,5898.65360102597,5222.397360772338,4763.278080740241,1231.6561925580238,5024.326230767276,4217.354233721209,4454.19220050773,5869.615234852248,5188.700595183822,1430.992518076235,1575.0201080739084,4936.327730012473,5869.615234852248,5354.060278648821,4883.506735864429,4232.518144316845,5094.291209068191,3408.525743576993,3797.6263473570625,955.5209592741868,1990.427754162119,1935.4769555684045,4341.240742575645,4342.84166281002,3717.4697247157646,1480.046627806609,2292.0807640425096,4742.275696963328,6550.322889374721,5493.656521133292,6081.394569950339,5186.237272747687,2198.7368476028228,2218.753010458443,5937.947879139089,6662.573287396869,819.1756480855319,2973.716705704959,4964.617166645179,4896.297158261347,5799.109477560118,6242.708341384241,5334.003593057302,5241.3723258920045,5922.8182545708005,5192.643969351486,4696.0449455309035,6856.767373783866,5944.148961876899,84.85560477578453,2833.6595813572276,4017.2443865198106,5726.170035119385,5832.053766379093,4986.041307191857,1026.2312422075909,1684.1424177656363,1137.026086985221,529.3331639240379,6469.271698386349,5986.250061616695,464.31664128248633,5045.813871095537,4994.231004152438,2917.8469554683024,1210.0218024109436,2147.132448798427,1737.2872043615885,4309.235624388565,4964.206701167193,2268.6042039475064,168.3777265337182,2996.045682874206,2966.1172601644353
3,4047.072221563507,4111.284094956051,1842.258961368618,2062.087702625748,5338.259860717828,5338.259860717828,5925.889495962787,2313.053148599616,3778.799508176874,5361.322949407833,6189.343654610437,5046.668230134482,1561.3117020419018,2927.725797133795,4176.164474908483,3101.085957989303,4701.855631224619,3062.7033672739276,5118.542310279536,6115.770583425173,5434.09006350883,4908.971190849991,1444.7950125384052,5170.752228499861,4364.76819416799,4600.911805805665,6086.73233268593,5338.259860717828,1627.1007144228524,1721.8302617669879,5148.382087300848,6086.73233268593,5567.290695429415,5094.880037223339,4445.770560640308,5306.973090790156,3402.881337992663,3944.4189764885705,1168.4713827562896,2136.8340828134205,2082.1470561423725,4553.925271692992,4489.314674653466,3929.938586543816,1474.4727402551894,2286.6095747036215,4888.7316358631615,6762.426002479293,5710.396798268955,6290.2765201578695,5399.27106474077,2411.4080738648145,2431.42950594796,6149.219732521706,6878.946870076366,965.9584051656581,2967.8401168157234,5176.837581892855,5110.199170965378,6013.000632815608,6459.064723348746,5547.236864062307,5453.9397432911455,6134.102005492974,5405.2078083155775,4909.293063201305,7073.157318056007,6160.562101831965,298.067926136912,2827.8056542554905,4011.4836453780226,5937.456591659735,6048.884718169132,5199.160577586492,1173.184509158626,1830.5406637307715,1350.4365975827602,676.1099062889202,6685.6283138576155,6197.513603004386,446.3608931145496,5258.343115122799,5206.929099975682,3130.4842990155084,1364.542860888518,2141.663614686195,1950.1653378995193,4455.573029624779,5180.671685842249,2263.126567596801,381.5219416760203,2990.657392456039,3178.757129919214
4,4157.2384934053725,4303.93062745606,1788.546941144283,2172.0389726074313,5444.825334693839,5444.825334693839,6134.638090126403,2422.8910017825488,3988.0107895445785,5572.354674406549,6400.118902916629,5255.785901844604,1519.353926985159,3087.2194205740225,4385.418755089883,3310.2836532314827,4812.003799678626,3172.7083917598256,5327.597789725681,6322.7767685524905,5643.027558267195,5019.96703442894,1654.6270723934297,5279.651493253048,4474.218110107845,4710.875725763262,6292.325986210831,5444.825334693839,1835.997771175097,1831.6544584127396,5357.997831594116,6292.325986210831,5775.280609438254,5304.627677234667,4655.533366363877,5516.079048085298,3349.8310675795415,4054.6628314458844,1378.207563123084,2246.8167936034624,2192.093383221997,4764.140353623137,4599.16866155238,4139.2906604796935,1549.6284948909283,2233.6006399324824,5048.22525930339,6972.173642490623,5919.069127859546,6500.024160169197,5609.326754130904,2620.305130617059,2640.648092188923,6356.540645717892,7086.198850776978,1076.3691220311919,2914.838835469328,5386.5677216734,5319.947017742548,6220.282925185205,6666.397620355881,5755.145717345823,5665.4639392161735,6341.381917335185,5615.3345998870755,5119.096278578077,7280.397704597118,6367.537813535995,507.82057448649545,2856.734827361533,3958.190395195016,6144.644935653093,6258.367638679778,5409.238125133968,1283.2669969369028,2023.374385713146,1560.1415959385658,786.464438205593,6892.886425733404,6404.846500011521,500.1808438556854,5468.844784715131,5415.989607674693,3339.6725370158433,1550.9551851140561,2088.0490792011215,2159.4134700039262,4565.688796020099,5388.42467805019,2209.564315349227,591.2681918010392,2937.169869110146,3387.9626679477724
5,4295.418479348068,4525.115496754484,1763.3310758286125,2310.6536886821896,5586.012034166556,5586.012034166556,6354.508654246788,2561.1411254612162,4209.125059435282,5793.466066096812,6620.671654664495,5480.52153131937,1658.1022433332369,3308.530048180068,4606.597139525179,3531.1511428038907,4950.556410326824,3311.341679870722,5552.361581075738,6543.799143514751,5864.72727320753,5156.653420747057,1876.0278148291632,5418.6509711454655,4612.508163514487,4849.631014010751,6514.760892775508,5586.012034166556,2057.509923351067,1969.8887552055878,5579.466910290615,6514.760892775508,5997.927905128116,5525.294102444589,4876.969315001111,5740.883226851662,3324.862033940782,4192.757045531869,1599.814893393927,2418.243320562176,2330.7448891883755,4985.3408246986555,4737.606779768456,4360.177825316088,1688.4002905183938,2207.7569905967325,5269.16994358831,7191.973262797347,6139.748592408471,6720.00763080979,5830.926930273875,2841.836212016704,2862.169501182841,6576.512064035561,7306.365727281044,1214.982774318847,3053.923653453035,5608.069421428208,5541.463774536059,6441.882141460924,6886.369078781631,5977.874073761008,5885.784788554577,6561.397123668195,5835.81409160562,5340.55326806289,7500.49450328512,6588.171643138613,729.2525626181732,2995.6680347061892,3933.210839708219,6364.624514937711,6479.048853223564,5630.781469630247,1421.9627561344196,2244.4437871795626,1781.713360829044,925.1512246285156,7112.796914250982,6624.817958437267,674.9930156831983,5689.956176405394,5640.7873928101235,3560.771494303884,1725.5055442210999,2062.814880048515,2380.927102043237,4703.88566899592,5607.631760652858,2184.3141459240132,812.7360574647272,2911.9049141702285,3609.0621991347584
6,4450.922989329154,4730.063579643274,1777.8721500676102,2465.8576941755146,5738.144338825748,5738.144338825748,6560.192662813656,2716.352843449453,4413.984408282612,5998.253015271109,6826.052373082321,5684.099313652246,1813.3152662997436,3513.3523727612373,4811.532712222355,3737.9296268985304,5105.332698072782,3466.193776467011,5755.911201533323,6746.218067439711,6071.441260638468,5313.170597938639,2080.956253209337,5572.980391647207,4767.518978591871,5004.4951787046,6717.181762948466,5738.144338825748,2262.3056249488177,2158.2378749027775,5785.116308332583,6717.181762948466,6203.844017665608,5731.331233178005,5082.541265441975,5944.392459892942,3339.48217071393,4347.9919029573575,1804.7556550771847,2623.20629726096,2485.9556301188964,5188.401000003189,4892.4932368426025,4565.061431097647,1843.5685459425604,2222.367825509885,5474.214435011797,7398.866649148921,6346.644629043273,6926.976806094597,6033.113530954315,3046.646460448072,3066.9662650741748,6783.58407012656,7513.889421271037,1370.1731488431092,3209.4910325210994,5813.745608050544,5747.144605296859,6648.833446499269,7093.44108487263,6183.792145987928,6090.984119005818,6768.965185227154,6040.190376624707,5546.120056343001,7708.026557548803,6795.551501518451,934.1459314024245,3151.370861957672,3948.050521488562,6572.10022194522,6685.083279803436,5833.003043800036,1577.0429117891708,2449.3591961149864,1986.4415750725368,1080.333571215108,7320.353864175771,6831.889964528267,809.4836790268691,5894.743125579691,5844.303019482335,3765.646155753879,1860.205881447621,2077.425714961667,2585.7225092490553,4859.257702199374,5815.348666649919,2198.860891988864,1017.6276088555142,2926.750237347012,3813.9362866858073
7,4597.468642793461,4942.919658224177,1877.628577075206,2612.7046587140994,5885.89927453029,5885.89927453029,6773.556224137357,2863.0013986322974,4626.86941055528,6211.166362700305,7039.117184252682,5897.286419957758,1960.0622648819656,3726.2084513421405,5024.393929025151,3951.1051737554144,5252.517481844826,3613.0762730111946,5969.146586173413,6959.588357779307,6282.394497054015,5460.131062606308,2294.141758738156,5719.762394359822,4914.353092105999,5151.134336691284,6930.549991605587,5885.89927453029,2475.4043525691422,2371.116637519982,5998.285656368838,6930.549991605587,6415.577683203378,5944.029155548302,5295.780809767295,6157.609412596649,3486.1673273758042,4494.574492768876,2017.8814212291659,2836.1038413710876,2632.772112665172,5401.619962456414,5039.174681786966,4779.405409451343,1990.4597319006295,2310.7238574587486,5687.183562368786,7612.443114236988,6559.348005294434,7139.177849615713,6246.705383212459,3260.015189380514,3280.1020179471197,6995.310099606447,7725.557329251404,1516.9989969764208,3355.903029627526,6026.873154379125,5960.266971907495,6861.270353385988,7305.1607507834115,6395.523807523553,6304.55757736164,6980.657409977582,6253.578726104827,5759.3560441601385,7919.69069940791,7007.199999003694,1147.3446666798402,3298.421275807614,3942.326711005789,6783.776325826151,6897.787493140333,6046.581258547767,1757.0113277497187,2662.440033162493,2199.9797248731147,1293.509912009232,7532.070134594648,7043.60963043905,964.0585954678962,6108.008189872559,6057.5445249844615,3978.531158026548,2014.691804457092,2200.9926315352877,2798.8366897429732,5005.888532407056,6029.643782084661,2334.2065957754075,1231.2156942838749,3050.046270976829,4026.8212889584756
8,2652.3895195591617,3146.733384969397,913.173362051064,411.3054360122477,3377.5771579464677,3377.5771579464677,4979.432020686861,1053.8039010914583,2830.3791214151975,4415.193969638857,5241.3285707575205,4102.161478679233,565.0297986092769,1929.5393810449195,3227.6874483929696,2515.8911031744674,3158.1538013049208,1154.5494729044701,4174.0611540072505,5165.240301616964,4483.682054007631,2935.342592299596,2279.8660749564674,3577.0163486978167,2389.626043587948,2858.3484396156223,5140.404854585918,3377.5771579464677,1358.4282036179845,1066.5804123092523,4457.867049732641,5140.404854585918,4616.61241207572,4146.497472864791,4084.4154395164733,4363.196114976984,1558.0749069614792,2234.4686523111286,1667.1637475241462,1308.7871443499987,419.6111450131108,3604.87384048934,3010.9823797190397,2981.5731264225433,534.7163333944663,839.5157764432108,3891.8584162478496,5813.14899632516,4760.951962828677,5341.402781154083,4449.035294188425,1931.8027594335508,1940.1040802481912,5196.489366219527,5927.777431757316,1114.2714524529372,1122.8713297307572,4486.138628930324,4441.230744353695,5062.6395561227555,5506.365314372505,4596.583510381089,4506.224987590404,5182.027315606217,4456.062876576042,4357.946819515576,6121.736014572866,5209.025450361393,1887.2611336875405,982.757519454489,2167.176959360604,4986.828246456803,5100.252223643772,4248.889459075041,1094.9659825921974,1369.402331295702,2108.5037644750932,1333.2612628800691,5734.247728695275,5244.8159652953045,2291.7516362188812,4309.658368799043,4262.763586844546,2182.1066231550426,2763.011722521294,756.0897524036033,1657.793241102628,3043.8903676457408,4230.925591854011,782.9500024933411,1805.7863293357857,1145.8839095887263,2230.397327985918
9,2872.492073647396,3366.478086411806,692.9161352921002,572.8579405794633,3597.6561860564343,3597.6561860564343,5199.629276028292,1203.5608877534007,3050.456477256366,4635.203631328369,5460.542075365816,4322.1741062622195,344.9114854669119,2149.5700483643227,3447.6377753467623,2607.190565655134,3377.998136189103,1374.6285010144375,4394.238070884066,5385.265786125159,4703.682449449581,3155.542658921934,2189.1007361473294,3796.8348484724693,2609.7050716979147,3078.316869858996,5360.428713201556,3597.6561860564343,1449.2758114126896,1157.913075060837,4548.663444957599,5360.428713201556,4836.577444503776,4365.769250278677,4175.390037624363,4583.344599969641,1649.5884336205856,2454.5476804210953,1575.4621018217895,1400.152807910633,592.8951669437964,3824.7758698371417,3231.066395665239,3201.628128677792,314.6009424001693,748.1410231406143,4111.390776658956,6033.129082866525,4981.089171630619,5561.349129013663,4668.950682474008,2023.1330108614793,2031.5335460745148,5416.451538558153,6147.757171123852,1023.2560796736601,1214.1183717841159,4576.965769973417,4532.1663839130215,5282.642534113209,5726.348720721699,4816.550361263047,4725.753264187256,5402.015414700736,4676.042963117408,4449.0280959229585,6341.727314379983,5428.842831499113,1795.69946441989,1073.8239639845835,2258.1123365194044,5206.737047761095,5319.52758787071,4468.969306342358,1003.2236213607727,1460.8194392925188,2016.8911225581132,1241.944146525647,5954.227115346337,5464.799371644498,2200.3448888658363,4529.6773804251225,4482.9649640898215,2402.299990379302,2671.30655620443,653.0516531928193,1748.6819029201606,3264.073480764446,4451.04385061655,691.6039150661564,1714.1998653356084,1236.864550179356,2450.590695210177
