ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
124040969|Rooms4u|02110190|338875.1|388474|1|38140452|osgb1000035151388|4|23604170|1|20.6|308|Smithdown Road|Liverpool|Merseyside|L15 5AJ|Liverpool District||||||Local Data Company|2022-03-01
124040971|Sgb Hairdressing|02100156|339255|388448|1|38140131|osgb1000035214612|3|23604168|1|11.1|9|Smithdown Place|Liverpool|Merseyside|L15 9EH|Liverpool District||||||Local Data Company|2022-03-01
124752387|Tortilla|01020018|334508|390268|1|38094796|osgb1000034933573|3|23602812|1|23.1|70|Lord Street|Liverpool|Merseyside|L2 1TL|Liverpool District|01517089527|www.tortilla.co.uk|Tortilla|||Local Data Company|2022-03-01
124753212|The Jacaranda|01020034|334966|389954|1|38139834|osgb1000034932188|3|23604162|1|9.8|21-23|Slater Street|Liverpool|Merseyside|L1 4BW|Liverpool District||||||Local Data Company|2022-03-01
124753215|Level|04250312|334877.3|390049.8|1|38266689|osgb1000034933435|8|23601736|1|19.3|18-20|Fleet Street|Liverpool|Merseyside|L1 4AN|Liverpool District||||||Local Data Company|2022-03-01
124753217|Mr. Wrap|01020018|335001.9|390033.8|1|38139801|osgb1000034933453|7|23604162|1|10.2|2-4|Slater Street|Liverpool|Merseyside|L1 4BS|Liverpool District||||||Local Data Company|2022-03-01
124753219|Wood Street Barber Shop|02100156|334994.8|390022.3|1|38296339|osgb1000034933454|5|23604928|1|7.5|66|Wood Street|Liverpool|Merseyside|L1 4AQ|Liverpool District||||||Local Data Company|2022-03-01
124753231|Bold St. Nails|02100156|335144.3|389975.9|1|38282884|osgb1000034982637|6|23600577|1|14|83|Bold Street|Liverpool|Merseyside|L1 4HF|Liverpool District||||||Local Data Company|2022-03-01
124753232|Rumi|01020018|335245|390150|1|38107578|osgb1000034985080|7|23603200|1|16.1|Flat A 46-48|Mount Pleasant|Liverpool|Merseyside|L3 5SD|Liverpool District||||||Local Data Company|2022-03-01
124752802|Cafe Nico|01020013|335627.4|390892|1|38318667|osgb1000034984158|6|23602532|1|18.5|85-87|Kempston Street|Liverpool|Merseyside|L3 8HE|Liverpool District||||||Local Data Company|2022-03-01
124753637|Lucca|09460656|335145|390064|1|38303026|osgb5000005251583240|1|23603757|2|19.7|48, Renshaw Street|Liverpool Chinatown|Liverpool|Merseyside|L1 4EF|Liverpool District||||||Local Data Company|2022-03-01
124754132|Blink Brow Bar|02100156|334620.7|390100.3|1|38274128|osgb1000002733076315|3|23601076|3|23.2|14-16|Manestys Lane|Liverpool|Merseyside|L1 3DL|Liverpool District|01618388876|www.blinkbrowbar.com/|Blink Brow Bar|||Local Data Company|2022-03-01
124753630|The Quarter|01020013|335579|389719|1|38054908|osgb1000034981900|4|23601670|1|16.3|7-15|Falkner Street|Liverpool|Merseyside|L8 7PU|Liverpool District||||||Local Data Company|2022-03-01
125507390|Kebabish Original|01020018|336941.8|389162.1|1|38284047|osgb1000002730070575|2|23602788|1|13.8|68|Lodge Lane|Liverpool|Merseyside|L8 0QL|Liverpool District|01517090553|www.kebabishoriginal.co.uk|Kebabish Original|||Local Data Company|2022-03-01
126936887|No.8 Hair & Beauty|02100156|335559.3|390705.6|1|38007608|osgb1000034984097|4|23600166|1|18|8|Anson Street|Liverpool|Merseyside|L3 5NY|Liverpool District||||||Local Data Company|2022-03-01
126936889|Jenever|01020034|335619.4|389916.9|1|38078928|osgb1000034982046|4|23600210|3|4.7|29a|Hope Street|Liverpool|Merseyside|L1 9BQ|Liverpool District||||||Local Data Company|2022-03-01
126936890|City Barbers|02100156|335278|389931|1|38089746|osgb1000034982688|3|23602688|1|14.1|13|Leece Street|Liverpool|Merseyside|L1 2TR|Liverpool District||||||Local Data Company|2022-03-01
126936582|Taz Newsagent|09470699|334812.4|390563.6|1||osgb1000034932959|5|23606385|3|28.9|1|Queen Square|Liverpool|Merseyside|L1 1RH|Liverpool District||||||Local Data Company|2022-03-01
126936583|Pattersons|01020034|334743|389961|1|38064047|osgb1000034932140|11|23601961|1|11.9|26-28|Gradwell Street|Liverpool|Merseyside|L1 4JH|Liverpool District||||||Local Data Company|2022-03-01
126936899|X in the City|04250825|334857.4|390129.9|1|38283126|osgb1000034933540|3|23604928|1|7.8|14|Wood Street|Liverpool|Merseyside|L1 4AN|Liverpool District||||||Local Data Company|2022-03-01
126936588|City Slots|04220277|335367|390738|1|38093486|osgb1000034984434|4|23602791|1|15.1|95|London Road|Liverpool|Merseyside|L3 8JA|Liverpool District||||||Local Data Company|2022-03-01
126936903|Samantha Chong|09460656|334512|390415|1|38252608|osgb1000034933782|3|23603003|1|9.4|31|Mathew Street|Liverpool|Merseyside|L2 6RE|Liverpool District||||||Local Data Company|2022-03-01
126936905|Maray|01020013|335163.9|389961.8|1|38019091|osgb1000034982643|4|23600577|2|16|91|Bold Street|Liverpool|Merseyside|L1 4HF|Liverpool District||||||Local Data Company|2022-03-01
126936594|Grilla|01020034|335485|389855|1|38071285|osgb1000034982592|2|23602169|1|14.3|22|Hardman Street|Liverpool|Merseyside|L1 9AX|Liverpool District||||||Local Data Company|2022-03-01
126936907|Johnny English|01020020|335005.7|390048|1|38226694|osgb1000034984927|8|23604162|3|16.6|62a|Bold Street|Liverpool|Merseyside|L1 4EA|Liverpool District||||||Local Data Company|2022-03-01
126936912|The Sweets & Gift Company|09470663|334851|390173|1|38019006|osgb1000034933522|3|23600577|1|24.2|6|Bold Street|Liverpool|Merseyside|L1 4DS|Liverpool District||||||Local Data Company|2022-03-01
126945138|Coral Bookmakers|04220279|336839|387382|1||osgb1000035025107|3|23600063|2|13.7|128-130|Aigburth Road|Liverpool|Merseyside|L17 7BP|Liverpool District|0800440011|www.coral.co.uk|Coral|||Local Data Company|2022-03-01
126945082|The North Western|01020034|335148|390494|1|38091120|osgb1000034984369|19|23602332|3|63.9|7, Lime Street|City Centre|Liverpool|Merseyside|L1 1RJ|Liverpool District|01517096825|www.jdwetherspoon.co.uk|Wetherspoon|||Local Data Company|2022-03-01
126942208|Blackburne House Bistro|01020013|335582|389676|1|38208948|osgb1000034981745|5|23600544|1|36.8||Blackburne Place|Liverpool|Merseyside|L8 7PE|Liverpool District||||||Local Data Company|2022-03-01
126942210|Jd Gyms|04240293|334298|390511|1|38199675|osgb1000034932998|5|23603316|3|21.6|State House, 14, Dale Street|City Centre|Liverpool|Merseyside|L2 4TR|Liverpool District||www.jdgyms.co.uk/|JD Gyms|||Local Data Company|2022-03-01
126942215|Annexe|01020034|335640.9|389988.8|1||osgb1000034982059|12|23602392|2|15.2|13|Hope Street|Liverpool|Merseyside|L1 9BQ|Liverpool District||||||Local Data Company|2022-03-01
126942216|Jay's Express|09470699|334877|390411|1||osgb1000034933857|8|23601562|3|61.5|St. Johns Shopping Centre, Houghton Street|City Centre|Liverpool|Merseyside|L1 1LP|Liverpool District||||||Local Data Company|2022-03-01
127750268|Evil Eye|01020034|338192.3|388579.1|1|38140367|osgb1000035150240|2|23604170|2|24.2|208|Smithdown Road|Wavertree, Liverpool|Merseyside|L15 3JT|Liverpool District||||||Local Data Company|2022-03-01
127750278|Purple Carrot|09470672|338755|388502|1|38140431|osgb1000035148879|7|23604170|1|12.9|286|Smithdown Road|Wavertree, Liverpool|Merseyside|L15 5AJ|Liverpool District||||||Local Data Company|2022-03-01
127749837|Portland St. 358|01020034|339085.5|388398.6|1|38140504|osgb1000035214848|4|23601422|3|11.3|358|Smithdown Road|Wavertree, Liverpool|Merseyside|L15 5AN|Liverpool District||||||Local Data Company|2022-03-01
127750687|Costa Coffee|01020013|338610|388512|1|38248771|osgb1000035148867|3|23604170|1|19.2|Flat 1 270-272|Smithdown Road|Wavertree, Liverpool|Merseyside|L15 5AH|Liverpool District|01517335252|www.costa.co.uk|Costa|||Local Data Company|2022-03-01
127760212|Belvoir Lettings|02110190|334515|390571|1|38199944|osgb1000034932661|6|23604150|1|16.5|Flat 1 20|Sir Thomas Street|Liverpool|Merseyside|L1 6BA|Liverpool District|01512311613|www.belvoir.co.uk|Belvoir|||Local Data Company|2022-03-01
129147692|Saltdog Slims|01020034|335178.4|389809.2|1|38301479|osgb5000005197685162|2|23604071|1|5.6|79|Seel Street|Liverpool|Merseyside|L1 4BB|Liverpool District||||||Local Data Company|2022-03-01
129148960|Ink Bar|01020034|335063|389963|1|38223353|osgb1000034982613|5|23604928|2|12.4|78-82, Wood Street|Liverpool Chinatown|Liverpool|Merseyside|L1 4DQ|Liverpool District||||||Local Data Company|2022-03-01
129148962|McCooley's|01020034|334942|390046|1|38035801|osgb1000034933460|4|23604928|1|21.1|Holmes Building 46-50|Wood Street|Liverpool|Merseyside|L1 4AQ|Liverpool District||||||Local Data Company|2022-03-01
129148964|Last Straw|02070098|334811.9|389868.5|1|38252779|osgb1000002730044405|3|23601428|1|17.8|74|Duke Street|Liverpool|Merseyside|L1 5AT|Liverpool District||||||Local Data Company|2022-03-01
129148107|Five Guys|01020018|334803|390617.5|1||osgb1000034932747|5|23603960|3|20|King John Court 2|Queen Square|Liverpool|Merseyside|L1 1RH|Liverpool District|01517078250|www.fiveguys.co.uk/|Five Guys|||Local Data Company|2022-03-01
129148113|Yanni's Traditional Fish & Chips|01020020|334377|390307|1|38094776|osgb1000034934131|2|23602812|1|24.6|33|Lord Street|Liverpool|Merseyside|L2 9SA|Liverpool District||||||Local Data Company|2022-03-01
129148971|City Style Barbers|02100156|335106.4|390738.6|1|38287804|osgb1000034984461|5|23602791|1|10.7|15|London Road|Liverpool|Merseyside|L3 8HR|Liverpool District||||||Local Data Company|2022-03-01
129148521|Wall of Fame|01020034|334435|390425.9|1|38208956|osgb1000034934290|4|23604661|1|23.8|6|Victoria Street|Liverpool|Merseyside|L2 6QE|Liverpool District||||||Local Data Company|2022-03-01
129148524|Carls Vauxhall News|09470699|334401|390971|1|38156565|osgb5000005184446131|1|23604632|1|13.2|25|Vauxhall Road|Liverpool|Merseyside|L3 6BL|Liverpool District||||||Local Data Company|2022-03-01
129148948|Ruby Blues|01020034|334979|390346|1|38211343|osgb1000034933772|9|23601993|1|23.5|3|Great Charlotte Street|Liverpool|Merseyside|L1 1HU|Liverpool District||||||Local Data Company|2022-03-01
129148949|The Irish House|01020034|334963|390270|1|38124292|osgb1000034933651|4|23603704|1|18.4|37|Ranelagh Street|Liverpool|Merseyside|L1 1JP|Liverpool District||||||Local Data Company|2022-03-01
129148538|O'Brien's|01020034|334439|390372|1|38177161|osgb1000034934166|4|23603003|1|29.2|20|Mathew Street|Liverpool|Merseyside|L2 6RE|Liverpool District||||||Local Data Company|2022-03-01
